Cleaned_Dialogue,Happiness,Contentment,Confidence,Neutral,Sadness,Anger,Fear,Surprise,Disgust,Love,Excitement,Anticipation,Nostalgia,Confusion,Frustration,Longing,Optimism,Positive/Negative,Song Recommendations
come okay come womankind let’s kill‘um,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Negative,"Enter Sandman, Let's Kill Tonight, You're Gonna Go Far, Kid"
yeah kill ‘um,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative,"Temperature, Levitating, Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
right well want kill boys yknow howare gonna beat three boys,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Negative,"Monster, Paranoid - 2012 - Remaster, Nightmare"
god i’m lame okay something throw would youlet throw come game,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Negative,"New Rules, TIRED OF PROBLEMS, Treat You Better"
come mon let throw ball,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative,"Can't Hold Us (feat. Ray Dalton), Moves Like Jagger, There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet"
thirtytwo seventyone hike,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative,"Smooth Criminal - 2012 Remaster, Dance Off (feat. Idris Elba & Anderson .Paak), The Ballad of Mona Lisa"
onemississippi twomississippi threemississippi,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Negative,"Sandstorm, Enemy (with JID) - from the series Arcane League of Legends, Thunder"
i’m sorry coming didn’t knowwhat,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,Negative,"Heaven and Hell - 2008 Remaster, Paranoid - 2012 - Remaster, Monster"
okay okay get take stupid troll thing home,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative,"Paradise, I Feel It Coming, Alors on danse - Radio Edit"
waitwaitwaitwait explain something though nobodytagged rachel isn’t play still going,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative,"Toxicity, Bleed, Chop Suey!"
let go let go,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Negative,"Monster, Paranoid - 2012 - Remaster, Nightmare"
ow,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Negative,"Duality, New Rules, In Waves"
isn’t national football league,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,Negative,"Don't Panic, Cotton Eye Joe, Play with Fire (feat. Yacht Money)"
oh shoot work monday nights,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"I Write Sins Not Tragedies, I Bet My Life, Psychosocial"
let go,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Negative,"Monster, Paranoid - 2012 - Remaster, Nightmare"
let go,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Negative,"Monster, Paranoid - 2012 - Remaster, Nightmare"
come it’s always us left field holding ball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Negative,"Pull Me Under, The Hardest Part, Stressed Out"
don’t know guess people don’t care enough,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"I Bet My Life, Middle Of A Breakup, Ain't No Rest for the Wicked"
must like crippled fear selfloathing,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Negative,"Cirice, Sign of the Times, Heathens"
really like routine,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative,"Don't Panic, Kaer Morhen, Free Bird - Edit"
foosball,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative,"Cake By The Ocean, Don't Start Now, Old Town Road"
hey stop staring wifes legs stop staring sisters legs,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative,"B.Y.O.B., Duality, Symphony Of Destruction - Remastered 2012"
im sorry get tan,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Negative,"Heaven and Hell - 2008 Remaster, Sugar, Toxicity"
went one sprayon tan places,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Negative,"Heaven and Hell - 2008 Remaster, Bleed, Toxicity"
eh got sprayon tan,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,Negative,"Don't Panic, Immigrant Song - Remaster, Beautiful Alien (feat. AI AM) - Radio Edit"
chandler gets pedicures,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Negative,"Immigrant Song - Remaster, Beautiful Alien (feat. AI AM) - Radio Edit, All We Know"
still cant believe thats sprayed mean looks really good wonder get one,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative,"Old Town Road, High Hopes, Say It Louder"
heres card,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative,"Lose Yourself, Hall of Fame (feat. will.i.am), Not Afraid"
know amanda ah called shes worst,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative,"B.Y.O.B., Duality, Symphony Of Destruction - Remastered 2012"
whos amanda,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Negative,"Heaven and Hell - 2008 Remaster, Sugar, Bleed"
trying british accent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Negative,"Heaven and Hell - 2008 Remaster, Sugar, Bleed"
know many expect,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,Negative,"Attention, I Dunno (feat. Dutchavelli & Stormzy), Holy Wars...The Punishment Due - 2004 Remix"
oh know ohi slept billy joel right,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Negative,"Beautiful Alien (feat. AI AM) - Radio Edit, Immigrant Song - Remaster, Cotton Eye Joe"
ugh lets cut,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative,"B.Y.O.B., Duality, Symphony Of Destruction - Remastered 2012"
cut lives ignore calls dodge till gets point,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative,"B.Y.O.B., Duality, Symphony Of Destruction - Remastered 2012"
youve got face red light red light goes spraying start close eyes spraying stops count five pat avoid drip marks turn around get back got,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Negative,"I Dunno (feat. Dutchavelli & Stormzy), New Rules, Royals"
spray count pat turn spray count pat,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative,"Hey Look Ma, I Made It, Houdini (feat. Swarmz & Tion Wayne), Boss Bitch"
sprayed front twice,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,Negative,"Friction, Symphony Of Destruction - Remastered 2012, In Waves"
barely even got three mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"Killing In The Name, New Rules, Middle Of A Breakup"
aint bad yet keeps getting darker next four hours,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Negative,"Don't Panic, Cirice, Play with Fire (feat. Yacht Money)"
dark gonna get,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,Negative,"Don't Panic, Cotton Eye Joe, Play with Fire (feat. Yacht Money)"
got sprayed two two,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative,"Toxicity, Bleed, Chop Suey!"
yeah youre backs zero youre gonna wanna even,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Negative,"Painkiller, Fortunate Son, All We Know"
might wanna get back,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative,"Can't Hold Us (feat. Ray Dalton), Moves Like Jagger, There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet"
sorry don’t know sorry don’t know,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Build God, Then We'll Talk, Ain't No Rest for the Wicked, Middle Of A Breakup"
ok sorry,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative,"Don't Panic, Kaer Morhen, Free Bird - Edit"
sorry dont know don’t know happened must nervous,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Bleed, Bad Liar, Toxicity"
don’t get chandler loved,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative,"Toxicity, Bleed, Chop Suey!"
ok ok ok promise promise promise won’t really promise gonna great,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative,"Temperature, Levitating, Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
oh yeah could rachel asking someone could babysit,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Negative,"Don't Panic, Into the Unknown - Panic! At The Disco Version, Take on Me"
could amanda,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Negative,"Sandstorm, Enemy (with JID) - from the series Arcane League of Legends, Thunder"
hello monica it’s amanda calling neighborhood hoping pop flat,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative,"Blinding Lights, Someone In The Crowd, C'mon - Single Version"
youre yonkers last name buffomartisis,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Negative,"Beautiful Alien (feat. AI AM) - Radio Edit, Immigrant Song - Remaster, Cotton Eye Joe"
let’s see assure get directly ring back mobile,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Negative,"I Dunno (feat. Dutchavelli & Stormzy), No Time for Caution, Don't Panic"
ok don’t hold thy breath,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"I Write Sins Not Tragedies, I Bet My Life, Psychosocial"
weren’t picking it’s amanda,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Negative,"Bonfire, Trndsttr, Collar Full"
didn’t say,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Negative,"Chop Suey!, Sugar, Toxicity"
absolutely absolutely it’s little weird it’s it’s gonna take getting used,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,Negative,"Nearly Witches (Ever Since We Met...), Chop Suey!, Bad Liar"
thing welded shut,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative,"Toxicity, Bleed, Chop Suey!"
ow,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Negative,"Duality, New Rules, In Waves"
sorry,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"Middle Of A Breakup, Ain't No Rest for the Wicked, I Bet My Life"
blame yeah thats right threw slapping,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Negative,"Duality, Symphony Of Destruction - Remastered 2012, American Idiot"
could mess easy go booth count five turn around,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Negative,"Chop Suey!, Sugar, Toxicity"
oh oh miss hawaiian tropic,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,Negative,"Cotton Eye Joe, Heaven and Hell - 2008 Remaster, Play with Fire (feat. Yacht Money)"
didnt,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Bleed, Bad Liar, Toxicity"
well wasnt alright freaked couldnt even undo bra,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Negative,"B.Y.O.B., All We Know, Duality"
musty,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,Negative,"Don't Panic, Immigrant Song - Remaster, Beautiful Alien (feat. AI AM) - Radio Edit"
oh god,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Negative,"Bonfire, Trndsttr, Collar Full"
yeah well america youre ass,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative,"B.Y.O.B., Duality, Symphony Of Destruction - Remastered 2012"
uh uh,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative,"New Rules, Royals, B.Y.O.B."
yeah baby ill show,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative,"Can't Hold Us (feat. Ray Dalton), Moves Like Jagger, There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet"
kneed misters,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,Negative,"Friction, Symphony Of Destruction - Remastered 2012, In Waves"
oh god im sorry joey ok,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Negative,"Immigrant Song - Remaster, Beautiful Alien (feat. AI AM) - Radio Edit, Kaer Morhen"
ooh accident must terrible look positively ghastly,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,Negative,"All We Know, Don't Let The Light Go Out, Somebody That I Used To Know"
cant believe tried cut phoebe,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,Negative,"Schism, The Sound of Silence, I Don’t Wanna Live Forever (Fifty Shades Darker)"
im still things,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Negative,"It's My Life, Whatever It Takes, Calm Down"
exactly look matter tried couldnt keep life people cut one ever clawed way back,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Negative,"Wrong, Demons, Politik"
im scrappy,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative,"Can't Hold Us (feat. Ray Dalton), Moves Like Jagger, There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet"
wont know would without,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Negative,"I Want to Know What Love Is - 1999 Remaster, Sweet Child O' Mine, Circle of Life (From ""The Lion King"") - From ""The Lion King"" Soundtrack"
well guess go back gave another chance guess amanda,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Negative,"Whatever It Takes, Whatever It Takes, It's My Life"
believe ive never professional dance training,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Negative,"Bonfire, Trndsttr, Collar Full"
let explain works go booth,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative,"Smooth Criminal - 2012 Remaster, Dance Off (feat. Idris Elba & Anderson .Paak), The Ballad of Mona Lisa"
im gonna stop right glenda okay look like first time huh want 4 twos want back,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Negative,"The Pot, American Idiot, Symphony Of Destruction - Remastered 2012"
wait minute theres two sets nozzles one,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Negative,"Chop Suey!, Nearly Witches (Ever Since We Met...), Attention"
oh son bitch,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,Negative,"Friction, Symphony Of Destruction - Remastered 2012, In Waves"
mean us know mean supposed difficult,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Negative,"Bad Liar, Rain, Wrong"
dont know,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Bleed, Bad Liar, Toxicity"
hi hey listen ask question monica first hooked weird going friends,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Negative,"Cotton Eye Joe, LA Devotee, Take on Me"
kinda know sneaking around hide guys,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,Negative,"Heaven and Hell - 2008 Remaster, Paranoid - 2012 - Remaster, Monster"
mean sexually,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Toxicity, Chop Suey!, Build God, Then We'll Talk"
yeah part felt like really wrong,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Toxicity, Chop Suey!, Build God, Then We'll Talk"
actually felt right know felt like uhm cant believe havent whole time,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative,"Can't Hold Us (feat. Ray Dalton), Moves Like Jagger, There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet"
yeah yeah absolutely mean somethings difficult doesnt mean quit,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Negative,"Royals, It's My Life, Whatever It Takes"
yeah doesnt work well one couples never sex,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Negative,"Painkiller, Wait and Bleed, Royals"
thats plaan,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Negative,"Calm Down, Young Dumb & Broke, Heaven and Hell - 2008 Remaster"
hmmm,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Bleed, Bad Liar, Toxicity"
guess werent good friends,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,Negative,"All We Know, Don't Let The Light Go Out, Somebody That I Used To Know"
dude chandler let,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative,"Starboy, Hotter Than Hell, Lose Yourself"
go away dont want see anybody,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Negative,"Radioactive, Unsainted, Are You Dead Yet?"
know went tanning place thing happened let,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,Negative,"Middle Of A Breakup, I Bet My Life, Ain't No Rest for the Wicked"
really count mississipily,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative,"Toxicity, Bleed, Chop Suey!"
right traditionally daddy supposed give mummya present prepared let go,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative,"Lose Yourself, Hall of Fame (feat. will.i.am), Not Afraid"
ran it’s girl fix one,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Negative,"Sunrise, Blinding Lights, Body Moves"
why’re tired,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Negative,"Heaven and Hell - 2008 Remaster, Sugar, Schism"
couldn’t sleep last night know started worrying aboutthis big divisional meeting later today worried morei couldn’t sleep y’know like fall asleep i’ll getsix hours sleep fall asleep i’ll get five hours sleep matter whati couldn’t fall asleep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"Killing In The Name, New Rules, Middle Of A Breakup"
know should’ve done told thatlittle story,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative,"New Rules, Royals, B.Y.O.B."
he’s downstairs getting rest stuff cab,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative,"Lose Yourself, Hall of Fame (feat. will.i.am), Not Afraid"
still mad us,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Build God, Then We'll Talk, Ain't No Rest for the Wicked, Middle Of A Breakup"
that’s fair can’t,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Negative,"Eye For an Eye, Rolling in the Deep, Hurricane"
hey know wanted get bigger gorilla,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Negative,"Toxicity, Build God, Then We'll Talk, Bad Liar"
numbers seeing new york chicago london areconsistently solid many officers reported disappointing fields,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Bleed, Bad Liar, Toxicity"
boston atlanta houston could go andon instead boring i’ll go straight forty two point plan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Negative,"Royals, It's My Life, Whatever It Takes"
phoebe could take one little feet put pitapocket,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative,"Blinding Lights, Someone In The Crowd, C'mon - Single Version"
closet,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Negative,"Heaven and Hell - 2008 Remaster, Sugar, Toxicity"
burping clogs,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Negative,"Heaven and Hell - 2008 Remaster, Bleed, Toxicity"
linen closet,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"In Waves, Unsainted, Psychosocial"
hospital,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,Negative,"Cirice, Sign of the Times, Demons"
wow guys got hospital fancy,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Negative,"Beautiful Alien (feat. AI AM) - Radio Edit, Immigrant Song - Remaster, Rock You Like A Hurricane"
left diapers hospital there’s bag buti’ll run get,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Negative,"I Dunno (feat. Dutchavelli & Stormzy), New Rules, Royals"
alright thanks oh ross could stop coffee house get amuffin,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative,"LA Devotee, Into the Unknown - Panic! At The Disco Version, Trndsttr"
umm let thinkwhat want want,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Negative,"Bad Liar, Rain, Wrong"
please take time it’s important decision like say iknow deciding marry someone muffin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative,"Don't Panic, Kaer Morhen, Free Bird - Edit"
god long think that’s gonna last,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"Killing In The Name, New Rules, Middle Of A Breakup"
dunno well got break thingreally quickly,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Bleed, Bad Liar, Toxicity"
y’know can’t even worry right cause gotthe cutie little baby oh can’t believe much love can’t getenough like right miss actually miss,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,Negative,"PILLOWTALK, Him & I, Really Love (feat. Craig David & Digital Farm Animals)"
oh i’m sorry mummy’s sorry go back sleep go back tosleep shh shhh go back sleep,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Negative,"Cirice, Sign of the Times, Middle Of A Breakup"
breaks heart doesn’t,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Negative,"Mr. Brightside, Way down We Go, Someone You Loved"
well alright already tried feeding changing burping heroh try one go back time listen phoebe,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Negative,"Painkiller, Chop Suey!, Bad Liar"
oh god losing mind,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Build God, Then We'll Talk, Ain't No Rest for the Wicked, Middle Of A Breakup"
diapers huh,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative,"Don't Panic, Kaer Morhen, Free Bird - Edit"
guess rachel baby,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,Negative,"Cotton Eye Joe, Heaven and Hell - 2008 Remaster, Play with Fire (feat. Yacht Money)"
nope still can’t believe slept firstplace,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Negative,"B.Y.O.B., All We Know, Duality"
said didn’t technically,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative,"Don't Panic, Kaer Morhen, Free Bird - Edit"
even understand couldn’t tell rachel whycouldn’t tell huh day didn’t,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Negative,"Eye For an Eye, Rolling in the Deep, Hurricane"
look don’t know else said i’m sorry,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Build God, Then We'll Talk, Ain't No Rest for the Wicked, Middle Of A Breakup"
scream ororor curse hit,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Negative,"Monster, Paranoid - 2012 - Remaster, Nightmare"
you’ll feel better i’ll feel better andyou know want see eyes,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative,"Orinoco Flow, Snow (Hey Oh), Can't Feel My Face"
don’t,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative,"Don't Panic, Kaer Morhen, Free Bird - Edit"
joe i’m kidding…,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Bleed, Bad Liar, Toxicity"
ducked,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,Negative,"Paranoid - 2012 - Remaster, Monster, Nightmare"
i’m sorry reflex,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Negative,"Raining Blood, Paranoid - 2012 - Remaster, Monster"
oh god really hurts,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Negative,"Duality, New Rules, In Waves"
supposed duck didn’t duck,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,Negative,"Friction, Symphony Of Destruction - Remastered 2012, In Waves"
don’t talk way hospital,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Negative,"Nightmare, Paranoid - 2012 - Remaster, Monster"
try feeding,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Bleed, Bad Liar, Toxicity"
already fed,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative,"Lose Yourself, Hall of Fame (feat. will.i.am), Not Afraid"
alright guys can’t turn okay that’s wants,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Negative,"New Rules, Don't Threaten Me with a Good Time, Paranoid - 2012 - Remaster"
actually pheebs husband wife kinda thing,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Negative,"Young Dumb & Broke, Hold, Yellow"
okay know people say tulsa paris ofoklahoma,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative,"Paradise, I Feel It Coming, Alors on danse - Radio Edit"
excuse,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative,"Toxicity, Bleed, Chop Suey!"
chandler don’t even wanna see musical oklahoma,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative,"All We Know, B.Y.O.B., I Write Sins Not Tragedies"
trying tell we’re moving oklahoma thatyou’re gay right matters least offer hugeraise,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Negative,"Painkiller, Chop Suey!, Bad Liar"
fell asleep,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,Negative,"Laid to Rest, American Idiot, I Write Sins Not Tragedies"
broke thumb,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,Negative,"All We Know, Middle Of A Breakup, Ain't No Rest for the Wicked"
want help,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Negative,"New Rules, Royals, Astronaut In The Ocean"
ah rachel guess,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Bleed, Bad Liar, Toxicity"
ah… put roommate,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Bleed, Bad Liar, Toxicity"
don’t think,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Bleed, Bad Liar, Toxicity"
two supposed together,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"Middle Of A Breakup, Ain't No Rest for the Wicked, I Bet My Life"
come ross didn’t mean anything baby shewas freaked alone would said yes anybody,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Bleed, Bad Liar, Toxicity"
don’t wanna anybody,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Negative,"Whatever It Takes, It's My Life, Whatever It Takes"
know it’s it’s better way anyway mean idon’t know thinking going road us it’s justmuch easier we’re friends kid,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,Negative,"Build God, Then We'll Talk, Schism, The Sound of Silence"
oh god long crying,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Negative,"Don't Let The Light Go Out, The Hills, Way down We Go"
week half,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Negative,"Don't Panic, Location, Collar Full"
rach try holding different way,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"New Rules, Royals, Astronaut In The Ocean"
oh god gonna guys can’t even comfort ownbaby i’m worst mother ever,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"Middle Of A Breakup, Ain't No Rest for the Wicked, I Bet My Life"
you’re new it’ll get better think yourfirst day work mean couldn’t easy figured,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Negative,"Whatever It Takes, Speed of Sound, It's My Life"
