Cleaned_Dialogue,Happiness,Contentment,Confidence,Neutral,Sadness,Anger,Fear,Surprise,Disgust,Love,Excitement,Anticipation,Nostalgia,Confusion,Frustration,Longing,Optimism,Positive/Negative
oh im sorry didnt see,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Negative
phoebe mad something cause pleasetell,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative
well dont know cant help,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
well dont know,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
well cant help,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
apology accepted,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
okay good,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
right phoebe come please tell didthat mad mad,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Negative
dont know dont remember,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Negative
well cant remember cant forget,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
oh mad know much sorry fatass thing actually sweet little hiney,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Negative
man im getting pretty tired youre might take soon,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
weve driving halfhour havent looked roadonce,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,Negative
yeah,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Positive
isnt rosss money,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
yeah okay rosss treat wanna eat,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
dont know,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
ooh hey know decide right uh im gonna ask abunch questions answer real fast okay uh clear mindclear right clear clear,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Positive
okay uhh would rather wet dry,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Negative
dry,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
believe ghosts yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
movie gonna big break,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive
yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
dude said,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Positive
also said yes,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
dont think going big break,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Negative
dont believe,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Negative
look joe dont want get hopes real high,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
talking im lead movie,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Positive
theyre even paying ya doesnt even sound like real movie,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Negative
yknow dont need okay dont know youre dumping allover big break,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
joe dont think going big break,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
youre trip huh make feel like loser cause ifit ill tell ya iiid rather alone,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Negative
oh dont want trip,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Negative
youre gonna like,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Positive
right ill tell ya next time ask question likethat ill lie,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
yeah dont want trip,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Positive
right fine fine dont pull ill get rightnow,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Positive
youre actually supposed stop bridge,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
get,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Positive
okay mad hair gel smells,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Positive
angry said handwriting childlike,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Negative
made feel precious,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Positive
oh know umm hes always correcting peoples grammarwhom sometimes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
oh beat board game turns baby hestarts lose,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Negative
okay,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
eh stop,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,Negative
chandler,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Positive
joey kicked car george washington bridge,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,Negative
dont know went crazy yknow playing game whereyouyou ask question answer really fast,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
game played without supervision,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Negative
well dont know mad mad yknow said thatuh didnt think wasnt gonna big break movie wasnt going doanything uh yknow didnt sound like real movieokay heshouldve pushed bridge,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Negative
whats bag,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Negative
even close,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Positive
okay yknow help need help cant,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Positive
okay right lets,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
put head back,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
yes,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
open eyes,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
oh god thinking four,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Positive
really,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
yes right yknow dont start practice runokay,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
drops,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Negative
well well said practice,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Positive
move,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
knew lying,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
oh god really freakishly strong,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
monica stop,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Negative
sweater vests,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
lets say theres welldressed pack dogs ohio hey monicalisten isis phoebe gotta ask something car,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Negative
hey dude,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
hey pheebs listen wooden box keeps sliding seatwhatwhat,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
yknow wont even talk going apologize himif wont even talk,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative
well maybe send something gets lasvegas hell know youre sorry,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Negative
dontdont say im sorry porn,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,Negative
really,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
yknow send cartoon cigarettes cause thatwhy could trade protection thats prison,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative
uhhmm,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
like better flora fauna,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
fauna,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
would rather simon garfunkle,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Negative
garfunkle,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
mad,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative
said boringohh,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,Negative
say boring,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
oh god remember playing chess,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,Positive
phoebe,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
heyhey stanley heyhey youre leading man lets get work,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
umm slight change plans weve shut,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,Negative
whwhat,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
money thing dont,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative
itits probably temporary hoping get moneysoon could uh hang,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Negative
uh hang long,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Negative
dont know week maybe two money turn people willalways wanna invest movies hey youre rich ya,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Negative
hey pal joey tribbiani,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
hey joey aww remembered even though youre big star,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
aw come itll years forget,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,Negative
joey whats like movie set huh dressing roomdo chair name,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
uh well yeahyeah ive got going yeah listen uh wantyou make sure tell chandler couldnt wrong uhoh gottago monica uh sushis,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,Negative
hey rach pass,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
yep,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
go,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
stop stop oh god,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Negative
pheebs could get please,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Positive
cause youre lazy get touchie,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Negative
people entire,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Positive
hey pheebs listen uh favor forgot pin number tomy atm card get,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
sure,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
uh scratched atm machine corner,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
ohh youre 5639,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Negative
thats thanks pheebs,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
hey tribbiani get back work break times,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Positive
uhh stunt double yeah yknow hes getting little familiarfor tastes,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
uhh pheebs heard put,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,Negative
dont come,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Negative
nononono ive supported one hundred percent want toprove person,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
got forgive ya dont come,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
forgive havent taking calls week,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Negative
well im totally chandler friends forever dont come,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
uh,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Negative
uh,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
okay tell chandler okay ran richard,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Positive
richard,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,Positive
richard simmons oh god,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,Negative
noo exboyfriend richard yknow tall guy moustache,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,Negative
oh okay actually makes sense,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive
really nice started talking ii ended havinglunch,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
weird dream youd lunch richard,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
really,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive
simmons go,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
strange part really nice umm looks great ididnt feel anything,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
ooh cant tell chandler,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
would totally freak tomorrows anniversary ijust dont want anything spoil,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Negative
oh cant believe guys lasted whole year,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Negative
know,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
wow owe rachel 20 bucks,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
totally different bet,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
almost anniversary,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
know believe one year ago today yourannoying friend chandler,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Positive
awww youre,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Negative
huh,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
got present,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
oh til tomorrow,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive
okay,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
wow,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
weekend oh gosh would perfect get see joey pluswe get start anniversary celebration plane call outplaneaversary,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
okay great joey said didnt want us,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
oh doesnt want us go trouble think howexcited hell go surprise plus get ownanivegasary anevadaversary,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Negative
yeah think see people,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Positive
go right,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Positive
yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
okay,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
okay im gonna go,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive
yknow pheebs kinda,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Negative
oh please gonna ditch like london,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
ditch phoebe pregnant triplets,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,Negative
uhhuh great story im going,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
hey,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
hey guys listen weekend gonna go las vegas tosurprise joey including wanna go,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Positive
well guess could take couple days work,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Negative
course take couple days work trip includesme,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
oh wait minute wait ive got presentation tomorrow cantmiss,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Negative
oh ive got tickets van gogh exhibit ive waiting like ayear,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,Positive
whatd say,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
said art lover,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
supposed insult,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Negative
dont know im tired,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative
rach maybe could fly together saturday,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
sounds great,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
okay yeah would nice actually apartment myselffor night,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
oh yeah walk around naked,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
yknow little alone time,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
naked alone time,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
phoebe im alone doesn’t mean wanna walk aroundnaked mean live alone dont walk around naked,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
uhhuh think takes long answer door,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
far trip vegas better worse trip tolondon,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
pretty much pheebs,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
yeah guess little better,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
aww love,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
give present,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
love forgot present fake,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
feel really forgot present,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
oh thats okay don’t worry give weget back,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
ohh thats,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Negative
whatwhat richard thing,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
oh,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
richard thing,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
okay umm ran richard yesterday asked wanted togo bite reason didnt tell knew youd get madand didnt want spoil anniversary,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Negative
really,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Positive
great,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
okay london 1…,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
hey,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,Positive
may come,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Positive
uh yeah want,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
yeah sure,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
um whatwhat ross,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Negative
oh soso werent trying entice youryournakedness,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Negative
werent trying entice nakedness,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
noo thought actually thought wanted sex withyou,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,Negative
ohh wow i’m sorry ross kicked shoes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Negative
forget ever happened,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,Negative
yes course absolutely youre right im sorry,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
thank,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
okay oh wait one thing umm dodo still need uh settle thequestion us,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Negative
phoebe dont eat animals,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
oh god,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Negative
hi,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
love condoms man,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Positive
whatwhat guys thought told come,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
dressed gladiator,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
talking,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Positive
happened,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Positive
well movie got shutdown ran money im workinghere til starts ever,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative
im sorry,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Negative
nono thats okay apparently theres new policy donthave share everything everybody,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
youre gladiator wow,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
yeah whatwhats going,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
monica lunch richard,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
dawson,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,Positive
noo wouldve cool,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Negative
boyfriend richard,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,Positive
meant nothing okay time,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Negative
go lunching hunky moustache men dont tell aboutit,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
youre right im sorry shouldve told,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Negative
aww go,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
promise next time absolutely tell,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Positive
ooh close,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
theres gonna next time ever see,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Positive
see mean cant tell,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Negative
thats funny think,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
oh yknow youre gonna acting like night reallyi dont even want around,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Negative
fine,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
fine happy anniversary,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Positive
whoa whoa guys please come come obviously,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
talking…,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
im sorry im done im done,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative
yknow last night embarrassing,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative
really mean youve seen naked hundreds times,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
uhhuh first rest building,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Negative
okay right thats true yknow dont embarrass thateasily,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
totally get embarrassed,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
dont ross think im secure person,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
yeah,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
hey yknow roman times hat,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Negative
yeah sure sure would uh would scrub floors theywould use get mud shoe sometimes underneath horse would getdirty would stick right…,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,Negative
right well ill take someplace nice look guy tipped ahundred bucks today,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
whoa,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Positive
yeahyeah playing blackjack like hour 5000can believe 5000,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Negative
wait minute dont guy ill take 100 andturn 5000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
good luck,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
chandler dont need luck thought,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Negative
see,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
thanks,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
cant believe like worst night ever,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,Negative
crazy mean stupid argument dont even wannasee richard,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
go fix go find chandler hes probably room tell himthat youre sorry love,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Negative
hmm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
yeah right right keep walkin right,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Positive
ross you… im sorry sir think reallylikes,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Negative
what…,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
yes im sorry extra pants umm friend seems tohave little accident,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
chandler,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
identical hand twin,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
whats identical hand twin,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
whats sound like guy identical hands wasincredible chandler dealers hands exactly like itit like looking atmy hands mirror,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Negative
don’t see means forget stupid movieim gonna millionaire,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
look dont worked yet gotta mean big moneycome identical hands,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
must go back,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Negative
hey unsupporting,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Positive
support 100 didnt didnt get right awayyknow im caught identical hand twins milliondollar idea,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,Negative
pheebs,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
yeah,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive
found identical hand twin,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
ohh,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Negative
came,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
joey,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
wonder weird,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
yeah well shes probably talking richard,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
would stop wanna know first thing said shecame back lunch richard didnt feel anything loves,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,Negative
yes feels terrible really wants make gottafind,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Negative
